date,open,high,low,close,volume,barCount,average
20200911  15:30:00,6.9,6.9,5.65,6.2,-1,-1,-1.0
20200911  15:31:00,6.2,6.2,6.2,6.2,-1,-1,-1.0
20200911  15:32:00,6.2,6.2,6.2,6.2,-1,-1,-1.0
20200911  15:33:00,6.2,6.2,6.2,6.2,-1,-1,-1.0
20200911  15:34:00,6.2,6.25,5.95,6.0,-1,-1,-1.0
20200911  15:35:00,6.0,6.1,5.95,6.0,-1,-1,-1.0
20200911  15:36:00,6.0,6.0,5.75,5.9,-1,-1,-1.0
20200911  15:37:00,5.9,5.9,5.85,5.9,-1,-1,-1.0
20200911  15:38:00,5.9,6.75,5.8,6.75,-1,-1,-1.0
20200911  15:39:00,6.75,6.8,6.75,6.8,-1,-1,-1.0
20200911  15:40:00,6.8,7.15,6.7,7.1,-1,-1,-1.0
20200911  15:41:00,7.1,7.45,7.0,7.05,-1,-1,-1.0
20200911  15:42:00,7.05,7.3,6.95,7.0,-1,-1,-1.0
20200911  15:43:00,7.0,7.3,7.0,7.05,-1,-1,-1.0
20200911  15:44:00,7.05,7.1,7.05,7.05,-1,-1,-1.0
20200911  15:45:00,7.05,7.6,7.0,7.45,-1,-1,-1.0
20200911  15:46:00,7.45,7.45,7.35,7.35,-1,-1,-1.0
20200911  15:47:00,7.35,7.4,7.35,7.35,-1,-1,-1.0
20200911  15:48:00,7.35,7.35,7.35,7.35,-1,-1,-1.0
20200911  15:49:00,7.35,7.45,7.3,7.45,-1,-1,-1.0
20200911  15:50:00,7.45,7.5,7.45,7.45,-1,-1,-1.0
20200911  15:51:00,7.45,7.45,7.1,7.25,-1,-1,-1.0
20200911  15:52:00,7.25,7.55,7.2,7.25,-1,-1,-1.0
20200911  15:53:00,7.25,7.3,7.25,7.25,-1,-1,-1.0
20200911  15:54:00,7.25,7.25,7.25,7.25,-1,-1,-1.0
20200911  15:55:00,7.25,7.5,6.9,7.0,-1,-1,-1.0
20200911  15:56:00,7.0,7.0,6.5,6.75,-1,-1,-1.0
20200911  15:57:00,6.75,6.95,6.7,6.7,-1,-1,-1.0
20200911  15:58:00,6.7,6.75,6.25,6.6,-1,-1,-1.0
20200911  15:59:00,6.6,6.6,6.2,6.45,-1,-1,-1.0
20200911  16:00:00,6.45,6.45,6.15,6.45,-1,-1,-1.0
20200911  16:01:00,6.45,6.7,6.4,6.45,-1,-1,-1.0
20200911  16:02:00,6.45,6.5,6.4,6.45,-1,-1,-1.0
20200911  16:03:00,6.45,6.8,6.45,6.55,-1,-1,-1.0
20200911  16:04:00,6.55,6.55,6.15,6.45,-1,-1,-1.0
20200911  16:05:00,6.45,6.5,6.05,6.1,-1,-1,-1.0
20200911  16:06:00,6.1,6.1,6.1,6.1,-1,-1,-1.0
20200911  16:07:00,6.1,6.1,6.05,6.1,-1,-1,-1.0
20200911  16:08:00,6.1,6.15,6.1,6.1,-1,-1,-1.0
20200911  16:09:00,6.1,6.25,6.0,6.05,-1,-1,-1.0
20200911  16:10:00,6.05,6.3,5.85,5.95,-1,-1,-1.0
20200911  16:11:00,5.95,6.0,5.95,5.95,-1,-1,-1.0
20200911  16:12:00,5.95,5.95,5.9,5.9,-1,-1,-1.0
20200911  16:13:00,5.9,6.05,5.9,6.05,-1,-1,-1.0
20200911  16:14:00,6.05,6.1,5.95,5.95,-1,-1,-1.0
20200911  16:15:00,5.95,6.2,5.9,5.95,-1,-1,-1.0
20200911  16:16:00,5.95,6.55,5.9,6.3,-1,-1,-1.0
20200911  16:17:00,6.3,6.7,6.3,6.55,-1,-1,-1.0
20200911  16:18:00,6.55,6.55,6.4,6.4,-1,-1,-1.0
20200911  16:19:00,6.4,6.45,6.35,6.45,-1,-1,-1.0
20200911  16:20:00,6.45,6.55,6.4,6.5,-1,-1,-1.0
20200911  16:21:00,6.5,6.85,6.4,6.5,-1,-1,-1.0
20200911  16:22:00,6.5,6.75,6.2,6.55,-1,-1,-1.0
20200911  16:23:00,6.55,6.7,6.55,6.65,-1,-1,-1.0
20200911  16:24:00,6.65,7.0,6.3,6.55,-1,-1,-1.0
20200911  16:25:00,6.55,6.75,6.4,6.5,-1,-1,-1.0
20200911  16:26:00,6.5,6.5,6.45,6.45,-1,-1,-1.0
20200911  16:27:00,6.45,6.5,6.35,6.45,-1,-1,-1.0
20200911  16:28:00,6.45,6.45,6.4,6.45,-1,-1,-1.0
20200911  16:29:00,6.45,6.5,6.45,6.45,-1,-1,-1.0
20200911  16:30:00,6.45,7.05,6.3,6.5,-1,-1,-1.0
20200911  16:31:00,6.5,6.5,6.45,6.45,-1,-1,-1.0
20200911  16:32:00,6.45,6.5,6.35,6.45,-1,-1,-1.0
20200911  16:33:00,6.45,6.6,6.0,6.3,-1,-1,-1.0
