,0,1,2,3,4
0,18543.723611111112,191.91,192.475,191.91,192.4
1,18543.724305555555,192.4,193.115,192.4,192.895
2,18543.725,192.895,192.895,192.855,192.895
3,18536.645833333332,137.9,142.2,136.77,140.79
4,18536.666666666668,140.79,145.015,140.37,143.205
5,18536.6875,143.205,144.265,142.6,144.265
6,18536.708333333332,144.265,144.72,142.19,144.32
7,18536.729166666668,144.32,145.285,143.24,144.48
8,18536.75,144.48,145.285,143.635,144.12
9,18536.770833333332,144.12,145.605,143.855,144.98
10,18536.791666666668,144.98,146.585,144.975,146.46
11,18536.8125,146.46,148.62,146.38,146.975
12,18536.833333333332,146.975,148.125,145.47,147.955
13,18536.854166666668,147.955,148.505,147.265,148.5
14,18536.875,148.5,148.845,147.87,148.215
15,18536.895833333332,148.215,150.025,147.915,149.165
16,18537.645833333332,143.065,151.29,137.595,150.62
17,18537.666666666668,150.62,150.62,147.845,147.96
18,18537.6875,147.96,150.765,146.865,150.595
19,18537.708333333332,150.595,150.69,148.445,148.905
20,18537.729166666668,148.905,151.065,148.435,148.435
21,18537.75,148.435,150.2,147.45,149.955
22,18537.770833333332,149.955,149.96,147.94,148.4
23,18537.791666666668,148.4,149.215,147.305,148.425
24,18537.8125,148.425,148.795,147.765,147.775
25,18537.833333333332,147.775,148.675,147.755,148.465
26,18537.854166666668,148.465,149.25,148.145,148.985
27,18537.875,148.985,149.0,148.13,148.23
28,18537.895833333332,148.23,149.485,148.23,148.575
29,18540.645833333332,152.5,160.705,151.845,156.7
30,18540.666666666668,156.7,161.455,156.525,160.63
31,18540.6875,160.63,161.49,158.6,158.65
32,18540.708333333332,158.65,163.25,158.62,162.19
33,18540.729166666668,162.19,164.305,161.57,164.17
34,18540.75,164.17,165.46,163.515,164.61
35,18540.770833333332,164.61,168.79,164.445,167.475
36,18540.791666666668,167.475,167.515,163.59,164.23
37,18540.8125,164.23,166.425,163.875,163.985
38,18540.833333333332,163.985,164.08,162.78,163.54
39,18540.854166666668,163.54,164.96,163.465,164.295
40,18540.875,164.295,165.765,164.185,165.765
41,18540.895833333332,165.765,168.57,165.765,168.05
42,18541.645833333332,168.55,168.55,158.835,163.05
43,18541.666666666668,163.05,163.845,160.735,161.89
44,18541.6875,161.89,165.82,160.85,164.955
45,18541.708333333332,164.955,165.265,164.055,164.76
46,18541.729166666668,164.76,166.28,164.38,165.225
47,18541.75,165.225,167.015,164.9,166.665
48,18541.770833333332,166.665,170.88,166.48,170.405
49,18541.791666666668,170.405,173.79,170.405,171.725
50,18541.8125,171.725,175.475,171.655,173.33
51,18541.833333333332,173.33,174.71,172.905,173.86
52,18541.854166666668,173.86,178.335,173.095,173.98
53,18541.875,173.98,174.26,168.325,172.27
54,18541.895833333332,172.27,174.81,172.02,172.4
55,18542.645833333332,179.38,185.55,173.585,177.31
56,18542.666666666668,177.31,181.98,175.675,181.44
57,18542.6875,181.44,182.3,178.365,180.425
58,18542.708333333332,180.425,183.21,180.375,182.935
59,18542.729166666668,182.935,189.12,182.23,187.98
60,18542.75,187.98,188.41,184.935,186.06
61,18542.770833333332,186.06,190.7,186.06,189.6
62,18542.791666666668,189.6,190.38,188.46,190.31
63,18542.8125,190.31,192.66,189.815,189.815
64,18542.833333333332,189.815,189.815,184.45,184.57
65,18542.854166666668,184.57,187.075,182.84,186.775
66,18542.875,186.775,188.46,185.675,185.675
67,18542.895833333332,185.675,189.605,185.675,188.775
68,18543.645833333332,193.17,194.53,182.535,186.625
69,18543.666666666668,186.625,188.0,184.54,187.05
70,18543.6875,187.05,192.235,186.0,190.495
71,18543.708333333332,190.495,193.115,189.57,192.895
