,Date,Open,High,Low,Close
0,18541.84513888889,14.7,14.7,14.7,14.7
1,18541.845833333333,14.7,14.85,14.7,14.85
2,18541.84652777778,14.85,14.85,14.85,14.85
3,18541.845833333333,14.7,14.85,14.7,14.85
4,18541.84652777778,14.85,15.15,14.85,15.1
5,18541.847222222223,15.1,15.1,15.1,15.1
6,18495.645833333332,10.9,12.2,10.45,11.45
7,18495.708333333332,11.45,12.2,10.8,11.85
8,18495.833333333332,11.85,12.2,10.15,10.75
9,18498.645833333332,12.15,12.75,9.15,9.15
10,18498.708333333332,9.15,9.7,7.3,7.7
11,18498.833333333332,7.7,7.75,6.05,7.3
12,18499.645833333332,7.8,8.4,7.2,8.1
13,18499.708333333332,8.1,8.35,7.35,7.5
14,18499.833333333332,7.5,8.05,7.0,7.85
15,18500.645833333332,7.9,8.95,7.45,7.9
16,18500.708333333332,7.9,8.1,7.6,7.9
17,18500.833333333332,7.9,9.15,7.8,9.15
18,18501.645833333332,8.8,8.8,6.3,8.0
19,18501.708333333332,8.0,8.7,7.6,8.4
20,18501.833333333332,8.4,9.5,8.3,8.55
21,18502.645833333332,9.0,9.65,7.55,7.65
22,18502.708333333332,7.65,9.45,7.65,9.4
23,18502.833333333332,9.4,9.55,8.45,9.4
24,18505.645833333332,9.3,10.7,6.1,10.7
25,18505.708333333332,10.7,12.05,10.2,11.2
26,18505.833333333332,11.2,11.4,10.55,11.2
27,18506.645833333332,12.6,13.5,11.55,11.8
28,18506.708333333332,11.8,11.9,10.3,11.3
29,18506.833333333332,11.3,11.85,10.85,11.55
30,18507.645833333332,12.8,12.8,9.65,11.05
31,18507.708333333332,11.05,11.9,10.65,11.35
32,18507.833333333332,11.35,12.05,11.25,11.85
33,18508.645833333332,10.4,11.2,7.4,8.35
34,18508.708333333332,8.35,8.35,6.6,7.45
35,18508.833333333332,7.45,8.6,6.6,7.25
36,18509.645833333332,7.3,7.35,3.75,4.475
37,18509.708333333332,4.475,6.2,4.3,5.65
38,18509.833333333332,5.65,7.0,5.3,5.95
39,18513.645833333332,6.0,7.0,4.55,6.5
40,18513.708333333332,6.5,7.55,5.65,6.6
41,18513.833333333332,6.6,7.3,5.2,5.75
42,18514.645833333332,6.3,7.85,5.5,7.2
43,18514.708333333332,7.2,7.75,6.5,6.6
44,18514.833333333332,6.6,7.8,6.1,6.4
45,18515.645833333332,5.9,7.7,5.5,7.05
46,18515.708333333332,7.05,8.1,6.25,7.4
47,18515.833333333332,7.4,7.65,5.75,6.0
48,18516.645833333332,6.9,7.6,5.65,6.25
49,18516.708333333332,6.25,7.2,4.85,5.2
50,18516.833333333332,5.2,6.65,4.65,5.45
51,18519.645833333332,6.6,6.95,5.15,6.85
52,18519.708333333332,6.85,7.85,6.15,7.8
53,18519.833333333332,7.8,8.35,6.35,7.85
54,18520.645833333332,7.3,9.0,7.3,8.35
55,18520.708333333332,8.35,8.95,7.4,8.4
56,18520.833333333332,8.4,8.75,7.25,7.85
57,18521.645833333332,8.6,8.6,7.35,7.95
58,18521.708333333332,7.95,7.95,6.4,6.85
59,18521.833333333332,6.85,7.5,5.5,6.35
60,18522.645833333332,5.3,5.4,3.9,4.65
61,18522.708333333332,4.65,5.35,3.625,4.4
62,18522.833333333332,4.4,5.7,3.9,5.55
63,18523.645833333332,5.7,6.1,4.1,4.3
64,18523.708333333332,4.3,5.6,3.25,4.125
65,18523.833333333332,4.125,5.5,3.6,5.45
66,18526.645833333332,4.7,5.5,2.2,2.55
67,18526.708333333332,2.55,3.6,1.9,2.675
68,18526.833333333332,2.675,3.3,2.075,3.2
69,18527.645833333332,3.8,5.6,2.575,3.05
70,18527.708333333332,3.05,4.25,2.825,4.05
71,18527.833333333332,4.05,4.225,2.9,3.95
72,18528.645833333332,4.2,5.6,3.05,4.35
73,18528.708333333332,4.35,4.65,2.875,3.4
74,18528.833333333332,3.4,3.7,2.5,3.0
75,18529.645833333332,2.55,3.0,1.85,2.7
76,18529.708333333332,2.7,2.95,1.525,2.5
77,18529.833333333332,2.5,2.6,1.25,2.3
78,18530.645833333332,2.9,2.9,1.8,1.8
79,18530.708333333332,1.8,3.175,1.35,2.625
80,18530.833333333332,2.625,3.425,1.95,3.425
81,18533.645833333332,3.5,5.2,2.55,3.15
82,18533.708333333332,3.15,3.625,2.5,2.925
83,18533.833333333332,2.925,4.7,2.9,3.975
84,18534.645833333332,4.3,6.2,3.95,5.2
85,18534.708333333332,5.2,6.0,4.95,5.55
86,18534.833333333332,5.55,5.95,5.05,5.95
87,18535.645833333332,6.1,6.1,4.575,5.05
88,18535.708333333332,5.05,5.7,3.7,4.65
89,18535.833333333332,4.65,5.0,3.55,4.275
90,18536.645833333332,5.2,5.2,3.7,4.15
91,18536.708333333332,4.15,5.35,3.675,5.25
92,18536.833333333332,5.25,5.25,3.325,4.05
93,18537.645833333332,2.9,5.25,2.65,5.0
94,18537.708333333332,5.0,5.4,4.25,4.65
95,18537.833333333332,4.65,5.8,4.025,4.5
96,18540.645833333332,4.8,10.3,3.95,10.15
97,18540.708333333332,10.15,11.05,9.25,10.0
98,18540.833333333332,10.0,11.85,9.3,11.75
99,18541.645833333332,12.3,15.9,12.2,14.4
100,18541.708333333332,14.4,15.0,14.1,14.75
101,18541.833333333332,14.75,15.2,14.6,15.15
