,Date,Open,High,Low,Close
0,18543.645833333332,129.065,129.195,128.61,128.665
1,18543.64652777778,128.665,129.015,128.66,129.015
2,18543.647222222222,129.015,129.015,129.015,129.015
3,18473.645833333332,124.795,124.795,120.09,121.12
4,18473.708333333332,121.12,121.82,120.175,120.98
5,18473.833333333332,120.98,123.5,120.37,123.005
6,18474.645833333332,123.185,126.055,122.965,124.84
7,18474.708333333332,124.84,127.13,124.695,126.195
8,18474.833333333332,126.195,128.01,125.13,128.01
9,18477.645833333332,129.085,130.435,127.23,127.74
10,18477.708333333332,127.74,131.22,127.74,131.1
11,18477.833333333332,131.1,132.37,130.88,131.945
12,18478.645833333332,122.675,122.74,117.735,120.255
13,18478.708333333332,120.255,122.555,119.57,122.095
14,18478.833333333332,122.095,122.11,119.115,119.435
15,18479.645833333332,121.205,122.405,120.08,120.97
16,18479.708333333332,120.97,122.1,120.905,121.94
17,18479.833333333332,121.94,123.665,121.095,121.775
18,18480.645833333332,121.32,123.705,120.62,123.135
19,18480.708333333332,123.135,123.275,121.7,122.53
20,18480.833333333332,122.53,123.845,122.525,123.015
21,18481.645833333332,123.445,124.575,122.6,122.65
22,18481.708333333332,122.65,124.14,122.165,122.805
23,18481.833333333332,122.805,123.635,120.995,122.935
24,18484.645833333332,123.13,124.675,122.63,123.165
25,18484.708333333332,123.165,124.285,120.52,122.08
26,18484.833333333332,122.08,123.03,121.95,122.475
27,18485.645833333332,122.65,124.73,122.305,124.255
28,18485.708333333332,124.255,125.73,124.105,125.42
29,18485.833333333332,125.42,125.43,121.645,123.01
30,18486.645833333332,124.17,127.53,123.35,127.41
31,18486.708333333332,127.41,127.7,124.885,125.79
32,18486.833333333332,125.79,126.515,125.605,126.375
33,18487.645833333332,126.105,128.5,125.785,128.075
34,18487.708333333332,128.075,128.47,126.65,127.405
35,18487.833333333332,127.405,127.435,125.21,126.365
36,18488.645833333332,126.215,126.86,125.56,125.79
37,18488.708333333332,125.79,126.325,125.13,126.305
38,18488.833333333332,126.305,126.495,125.445,126.295
39,18491.645833333332,127.215,129.2,126.68,128.82
40,18491.708333333332,128.82,129.03,127.37,128.16
41,18491.833333333332,128.16,128.58,127.655,128.065
42,18492.645833333332,128.195,128.685,126.89,128.575
43,18492.708333333332,128.575,129.485,128.2,128.475
44,18492.833333333332,128.475,128.475,127.8,128.16
