"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Sep-2020","    11464.30","    11553.55","    11366.90","    11470.25","      783769555","        36752.54"
"02-Sep-2020","    11478.55","    11554.75","    11430.40","    11535.00","      593494423","        27454.65"
"03-Sep-2020","    11566.20","    11584.95","    11507.65","    11527.45","      607115212","        26868.26"
"04-Sep-2020","    11354.40","    11452.05","    11303.65","    11333.85","      681338905","        31746.86"
"07-Sep-2020","    11359.60","    11381.15","    11251.70","    11355.05","      560322964","        25959.82"
"08-Sep-2020","    11378.55","    11437.25","    11290.45","    11317.35","      572239350","        27979.70"
"09-Sep-2020","    11218.60","    11298.15","    11185.15","    11278.00","      728880693","        32660.67"
"10-Sep-2020","    11363.30","    11464.05","    11327.40","    11449.25","      679419973","        39239.10"
"11-Sep-2020","    11447.80","    11493.50","    11419.90","    11464.45","      554789157","        29614.09"
"14-Sep-2020","    11540.15","    11568.90","    11383.55","    11440.05","      642270123","        33996.94"
"15-Sep-2020","    11487.20","    11535.95","    11442.25","    11521.80","      506667239","        28054.51"
"16-Sep-2020","    11538.45","    11618.10","    11516.75","    11604.55","      527804775","        27629.71"
"17-Sep-2020","    11539.40","    11587.20","    11498.50","    11516.10","      517729494","        29674.95"
"18-Sep-2020","    11584.10","    11584.10","    11446.10","    11504.95","      764154094","        48698.68"
"21-Sep-2020","    11503.80","    11535.25","    11218.50","    11250.55","      602851737","        37213.23"
"22-Sep-2020","    11301.75","    11302.20","    11084.65","    11153.65","      672249921","        36296.49"
"23-Sep-2020","    11258.75","    11259.55","    11024.40","    11131.85","      714925847","        35542.98"
"24-Sep-2020","    11011.00","    11015.30","    10790.20","    10805.55","      706139506","        33623.71"
"25-Sep-2020","    10910.40","    11072.60","    10854.85","    11050.25","      559597322","        31122.18"
